"YEAR","JURISDICTION","Sum(FINES)","TOTAL_LICENCES","LICENCES_PER_10,000"
2010,"ACT",2407,287134,83.83
2010,"NSW",51104,4791490,106.66
2010,"NT",998,132561,75.29
2010,"QLD",33013,3132341,105.39
2010,"SA",14139,1130920,125.02
2010,"TAS",3735,363291,102.81
2010,"VIC",54728,3978322,137.57
2010,"WA",11705,1566465,74.72
2011,"ACT",2284,294174,77.64
2011,"NSW",46714,4893688,95.46
2011,"NT",729,133035,54.8
2011,"QLD",30389,3240939,93.77
2011,"SA",13402,1138713,117.69
2011,"TAS",3241,367296,88.24
2011,"VIC",52630,4060582,129.61
2011,"WA",10485,1605793,65.29
2012,"ACT",1722,301841,57.05
2012,"NSW",42900,4984973,86.06
2012,"NT",722,138077,52.29
2012,"QLD",28548,3301004,86.48
2012,"SA",11623,1151821,100.91
2012,"TAS",2141,365359,58.6
2012,"VIC",61497,4135725,148.7
2012,"WA",17822,1623226,109.79
2013,"ACT",1356,307834,44.05
2013,"NSW",33514,5060762,66.22
2013,"NT",1058,146404,72.27
2013,"QLD",27998,3374824,82.96
2013,"SA",12560,1183292,106.14
2013,"TAS",2914,365295,79.77
2013,"VIC",52452,4228230,124.05
2013,"WA",14563,1854446,78.53
2014,"ACT",1115,314244,35.48
2014,"NSW",34952,5142396,67.97
2014,"NT",517,150653,34.32
2014,"QLD",25068,3384271,74.07
2014,"SA",11886,1196554,99.34
2014,"TAS",3256,366231,88.91
2014,"VIC",41448,4310687,96.15
2014,"WA",14377,1896560,75.81
2015,"ACT",873,312267,27.96
2015,"NSW",37989,5245755,72.42
2015,"NT",492,152268,32.31
2015,"QLD",23048,3432171,67.15
2015,"SA",12446,1206194,103.18
2015,"TAS",3273,370296,88.39
2015,"VIC",33598,4384609,76.63
2015,"WA",16666,1928430,86.42
2016,"ACT",1120,328377,34.11
2016,"NSW",38918,5337947,72.91
2016,"NT",535,154405,34.65
2016,"QLD",17213,3505706,49.1
2016,"SA",11153,1219494,91.46
2016,"TAS",3191,379305,84.13
2016,"VIC",27925,4474502,62.41
2016,"WA",14926,1952879,76.43
2017,"ACT",1299,324439,40.04
2017,"NSW",41020,5439711,75.41
2017,"NT",546,156344,34.92
2017,"QLD",15043,3580836,42.01
2017,"SA",11252,1232106,91.32
2017,"TAS",2738,380215,72.01
2017,"VIC",29293,4565595,64.16
2017,"WA",16718,1965031,85.08
2018,"ACT",1399,330574,42.32
2018,"NSW",37653,5529185,68.1
2018,"NT",861,157296,54.74
2018,"QLD",12828,3657643,35.07
2018,"SA",8471,1246015,67.98
2018,"TAS",2614,387773,67.41
2018,"VIC",32458,4665764,69.57
2018,"WA",17697,1977775,89.48
2019,"ACT",1098,329637,33.31
2019,"NSW",25463,5606175,45.42
2019,"NT",760,156344,48.61
2019,"QLD",11580,3719766,31.13
2019,"SA",7567,1258216,60.14
2019,"TAS",2355,398452,59.1
2019,"VIC",36694,4748539,77.27
2019,"WA",11850,1992380,59.48
2020,"ACT",812,326495,24.87
2020,"NSW",151725,5648327,268.62
2020,"NT",380,157831,24.08
2020,"QLD",4823,3806397,12.67
2020,"SA",6325,1271958,49.73
2020,"TAS",1966,406437,48.37
2020,"VIC",21231,4807706,44.16
2020,"WA",7889,2013336,39.18
2021,"ACT",544,326454,16.66
2021,"NSW",174082,5775889,301.39
2021,"NT",309,159208,19.41
2021,"QLD",18547,3888986,47.69
2021,"SA",4799,1294479,37.07
2021,"TAS",2328,416263,55.93
2021,"VIC",15562,4895143,31.79
2021,"WA",4909,2036282,24.11
2022,"ACT",374,334900,11.17
2022,"NSW",207697,5960216,348.47
2022,"NT",302,159063,18.99
2022,"QLD",121639,3973138,306.15
2022,"SA",4583,1329139,34.48
2022,"TAS",1973,423676,46.57
2022,"VIC",19428,4968836,39.1
2022,"WA",6346,2078263,30.54
2023,"ACT",288,341420,8.44
2023,"NSW",216042,6040358,357.66
2023,"NT",205,161361,12.7
2023,"QLD",80292,4051724,198.17
2023,"SA",5769,1340060,43.05
2023,"TAS",2428,426528,56.92
2023,"VIC",49546,5097911,97.19
2023,"WA",3592,2132257,16.85
2024,"ACT",27125,347892,779.7
2024,"NSW",161997,6166226,262.72
2024,"NT",244,163416,14.93
2024,"QLD",75334,4154952,181.31
2024,"SA",4605,1362548,33.8
2024,"TAS",2815,429865,65.49
2024,"VIC",55075,5260408,104.7
2024,"WA",3731,2194816,17
