"YEAR","JURISDICTION","DETECTION_METHOD","Sum(FINES)","TOTAL_LICENCES","LICENCES_PER_10,000"
"2010","ACT","Police issued",2407,287134,83.83
"2010","NSW","Police issued",51104,4791490,106.66
"2010","NT","Police issued",998,132561,75.29
"2010","QLD","Police issued",33013,3132341,105.39
"2010","SA","Police issued",14139,1130920,125.02
"2010","TAS","Police issued",3735,363291,102.81
"2010","VIC","Police issued",54728,3978322,137.57
"2010","WA","Police issued",11705,1566465,74.72
"2011","ACT","Police issued",2284,294174,77.64
"2011","NSW","Police issued",46714,4893688,95.46
"2011","NT","Police issued",729,133035,54.8
"2011","QLD","Police issued",30389,3240939,93.77
"2011","SA","Police issued",13402,1138713,117.69
"2011","TAS","Police issued",3241,367296,88.24
"2011","VIC","Police issued",52630,4060582,129.61
"2011","WA","Police issued",10485,1605793,65.29
"2012","ACT","Police issued",1722,301841,57.05
"2012","NSW","Police issued",42900,4984973,86.06
"2012","NT","Police issued",722,138077,52.29
"2012","QLD","Police issued",28548,3301004,86.48
"2012","SA","Police issued",11623,1151821,100.91
"2012","TAS","Police issued",2141,365359,58.6
"2012","VIC","Police issued",61497,4135725,148.7
"2012","WA","Police issued",17822,1623226,109.79
"2013","ACT","Police issued",1356,307834,44.05
"2013","NSW","Police issued",33514,5060762,66.22
"2013","NT","Police issued",1058,146404,72.27
"2013","QLD","Police issued",27998,3374824,82.96
"2013","SA","Police issued",12560,1183292,106.14
"2013","TAS","Police issued",2914,365295,79.77
"2013","VIC","Police issued",52452,4228230,124.05
"2013","WA","Police issued",14563,1854446,78.53
"2014","ACT","Police issued",1115,314244,35.48
"2014","NSW","Police issued",34952,5142396,67.97
"2014","NT","Police issued",517,150653,34.32
"2014","QLD","Police issued",25068,3384271,74.07
"2014","SA","Police issued",11886,1196554,99.34
"2014","TAS","Police issued",3256,366231,88.91
"2014","VIC","Police issued",41448,4310687,96.15
"2014","WA","Police issued",14377,1896560,75.81
"2015","ACT","Police issued",873,312267,27.96
"2015","NSW","Police issued",37989,5245755,72.42
"2015","NT","Police issued",492,152268,32.31
"2015","QLD","Police issued",23048,3432171,67.15
"2015","SA","Police issued",12446,1206194,103.18
"2015","TAS","Police issued",3273,370296,88.39
"2015","VIC","Police issued",33598,4384609,76.63
"2015","WA","Police issued",16666,1928430,86.42
"2016","ACT","Police issued",1120,328377,34.11
"2016","NSW","Police issued",38918,5337947,72.91
"2016","NT","Police issued",535,154405,34.65
"2016","QLD","Police issued",17213,3505706,49.1
"2016","SA","Police issued",11153,1219494,91.46
"2016","TAS","Police issued",3191,379305,84.13
"2016","VIC","Police issued",27925,4474502,62.41
"2016","WA","Police issued",14926,1952879,76.43
"2017","ACT","Police issued",1299,324439,40.04
"2017","NSW","Police issued",41020,5439711,75.41
"2017","NT","Police issued",546,156344,34.92
"2017","QLD","Police issued",15043,3580836,42.01
"2017","SA","Police issued",11252,1232106,91.32
"2017","TAS","Police issued",2738,380215,72.01
"2017","VIC","Police issued",29293,4565595,64.16
"2017","WA","Police issued",16718,1965031,85.08
"2018","ACT","Police issued",1399,330574,42.32
"2018","NSW","Police issued",37653,5529185,68.1
"2018","NT","Police issued",861,157296,54.74
"2018","QLD","Police issued",12828,3657643,35.07
"2018","SA","Police issued",8471,1246015,67.98
"2018","TAS","Police issued",2614,387773,67.41
"2018","VIC","Police issued",32458,4665764,69.57
"2018","WA","Police issued",17697,1977775,89.48
"2019","ACT","Police issued",1098,329637,33.31
