"YEAR","DETECTION_METHOD","ACT","NSW","NT","QLD","SA","TAS","VIC","WA"
2008,"Police issued fines",2060,40882,671,28499,11411,6780,49739,15957
2009,"Police issued fines",1890,41167,1106,33352,14167,5665,53101,14804
2010,"Police issued fines",2407,51104,998,33013,14139,3735,54728,11705
2011,"Police issued fines",2284,46714,729,30389,13402,3241,52630,10485
2012,"Police issued fines",1722,42900,722,28548,11623,2141,61497,17822
2013,"Police issued fines",1356,33514,1058,27998,12560,2914,52452,14563
2014,"Police issued fines",1115,34952,517,25068,11886,3256,41448,14377
2015,"Police issued fines",873,37989,492,23048,12446,3273,33598,16666
2016,"Police issued fines",1120,38918,535,17213,11153,3191,27925,14926
2017,"Police issued fines",1299,41020,546,15043,11252,2738,29293,16718
2018,"Police issued fines",1399,37653,861,12828,8471,2614,32458,17697
2019,"Police issued fines",1098,25463,760,11580,7567,2355,36694,11850
2020,"Camera issued fines",,138847,,,,,,
2020,"Police issued fines",812,12878,380,4823,6325,1966,21231,7889
2021,"Camera issued fines",,163722,,14574,,,,
2021,"Police issued fines",544,10360,309,3973,4799,2328,15562,4909
2022,"Camera issued fines",,194793,,118152,,,,
2022,"Police issued fines",374,12904,302,3487,4583,1973,19428,6346
2023,"Camera issued fines",,202757,,77213,,870,30723,
2023,"Police issued fines",288,13285,205,3079,5769,1558,18823,3592
2024,"Camera issued fines",26936,147272,,72314,,1284,42189,
2024,"Police issued fines",189,14725,244,3020,4605,1531,12886,3731
